DateTime,AddedIPs,RemovedIPs
1555509318,0,4
1555509622,37,5
1555509919,0,6
1555510220,0,7
1555510518,0,2
1555510819,0,5
1555511119,0,8
1555511719,0,10
1555512019,0,3
1555512321,0,5
1555512619,0,11
1555512918,0,5
1555513222,0,2
1555513518,0,4
1555514118,0,4
1555514420,1,9
1555514719,0,5
1555515020,0,3
1555515318,88,0
1555516821,2,0
1555519519,0,2
1555523718,67,0
1555525218,1,0
1555528818,72,0
1555534219,39,0
1555534517,17,0
1555540220,45,0
1555542618,0,1
1555544419,2,0
1555545018,33,0
1555549518,1,0
1555550418,44,0
1555553718,0,1
1555554619,0,1
1555554918,1,0
1555555819,80,0
1555558818,0,1
1555561219,68,0
1555561519,30,0
1555561819,0,2
1555562119,53,0
1555568118,1,0
1555568724,72,0
1555569618,11,0
1555575018,1,0
1555575919,4,0
1555576518,53,0
1555580418,1,0
1555580719,0,1
1555581020,9,0
1555581318,0,1
1555582218,152,0
1555586419,1,0
1555587319,6,0
1555588218,16,0
1555588519,85,0
1555593020,14,0
1555593619,0,1
1555594819,12,0
1555595718,0,1
1555596618,49,0
1555598118,11,0
1555599918,36,0
1555600819,0,1
1555604418,6,0
1555605619,80,0
1555609819,2,0
1555611018,19,0
1555614318,0,1
1555614919,59,0
1555615218,1,0
1555616418,65,0
1555617020,2,1
1555620618,1,0
1555622718,30,0
1555623619,0,2
1555626017,1,0
1555626917,5,0
1555630818,77,0
1555631419,16,0
1555632021,1,0
1555634119,1,0
1555635317,31,0
1555640719,4,0
1555641318,40,0
1555647619,3,0
1555648219,16,0
1555650319,53,0
1555653919,3,0
1555654517,0,1
1555654818,39,0
1555656019,21,0
1555659317,11,0
1555659619,22,0
1555663818,1,0
1555664718,18,0
1555668321,1,0
1555669519,29,0
1555670419,0,1
1555672820,1,0
1555673717,43,0
1555674018,79,0
1555677321,1,0
1555678519,0,1
1555679420,23,0
1555682117,89,0
1555683017,0,1
1555683619,1,0
1555684518,39,0
1555691118,100,0
1555695618,42,0
1555699819,6,0
1555700720,63,0
1555702518,38,0
1555704618,1,0
1555705220,4,0
1555707318,0,1
1555708819,22,0
1555710618,1,0
1555713317,2,0
1555714519,49,0
1555718118,2,0
1555718717,16,0
1555721718,149,0
1555722618,1,0
1555724419,70,0
1555730719,8,0
1555731317,26,0
1555736117,48,0
1555738519,8,0
1555738818,34,1
1555739420,13,0
1555743318,3,0
1555744218,13,0
1555747520,3,0
1555748419,32,0
1555752019,42,0
1555761019,6,0
1555761318,0,1
1555761919,49,0
1555762220,110,0
1555762820,1,0
1555763420,0,1
1555765521,6,0
1555769419,1,5
1555769720,4,0
1555770020,52,0
1555770320,8,0
1555775717,48,0
1555779021,6,0
1555779318,0,1
1555779919,39,0
1555782622,18,0
1555783518,1,0
1555784418,47,0
1555784718,34,0
1555787418,0,1
1555788017,6,0
1555788917,4,0
1555789820,0,1
1555791619,2,0
1555792518,6,0
1555796117,1,0
1555797020,81,0
1555798217,7,0
1555800621,9,0
1555802418,10,0
1555806019,6,1
1555806319,7,0
1555806918,1,0
1555810517,3,0
1555812020,0,1
1555812618,26,0
1555815020,1,0
1555815919,2,0
1555817719,15,0
1555821320,43,0
1555822219,1,0
1555823119,4,0
1555824018,78,0
1555828519,28,0
1555829421,48,0
1555831519,0,1
1555832419,12,0
1555833021,20,1
1555833318,60,0
1555833622,53,0
1555834818,1,0
1555836018,19,0
1555841118,1,1
1555842320,5,0
1555842918,33,0
1555843218,28,0
1555846520,12,0
1555850420,1,0
1555851021,132,0
1555854621,3,0
1555857319,0,1
1555858520,34,0
1555859119,0,1
1555859420,1,0
1555860019,34,0
1555862718,2,0
1555863618,13,0
1555866617,64,0
1555868418,14,0
1555869019,4,0
1555875617,1,0
1555876517,35,0
1555879218,17,0
1555879818,15,0
1555881018,1,0
1555881619,5,0
1555882517,30,0
1555886418,153,0
1555886718,315,0
1555887018,6,0
1555887619,14,0
1555890620,3,0
1555891819,3,0
1555896017,40,0
1555896916,1,0
1555897819,4,0
1555901718,2,0
1555902317,31,0
1555905918,2,0
1555907120,27,0
1555910417,3,0
1555910722,0,1
1555911619,35,0
1555915219,48,0
1555916118,33,0
1555920318,1,0
1555921217,45,0
1555923317,59,0
1555923620,1,0
1555924518,46,2
1555924818,3,1
1555925419,0,1
1555926619,5,0
1555927519,1,0
1555929317,0,1
1555931119,0,1
1555934117,3,0
1555934718,193,0
1555937422,45,0
1555937719,44,0
1555938618,2,0
1555939219,9,0
1555941019,47,0
1555941317,10,0
1555941919,43,0
1555942817,2,0
1555943421,0,1
1555944917,0,2
1555947020,7,1
1555947619,4,1
1555950019,12,0
1555951219,31,0
1555952118,5,0
1555954221,0,1
1555955419,0,1
1555957220,50,0
1555958420,7,0
1555958720,47,0
1555959319,3,0
1555961717,61,0
1555962919,4,0
1555964720,19,0
1555965318,0,1
1555966519,0,2
1555968018,21,0
1555968918,5,0
1555973419,82,0
1555978818,96,0
1555979717,219,0
1555980918,19,0
1555983317,1,0
1555984820,28,0
1555985118,1,0
1555989018,4,0
1555989617,52,0
1555990818,2,0
1555993221,29,0
1555994118,52,0
1555995018,2,0
1555995618,0,1
1555996518,0,1
1556006118,151,0
1556006718,11,0
1556011219,62,0
1556012118,1,0
1556015424,0,2
