DateTime,AddedIPs,RemovedIPs
1527355802,0,0
1527357002,0,0
1527358202,0,0
1527360002,0,0
1527361802,0,0
1527362702,0,0
1527365402,0,0
1527368102,0,2
1527369902,0,0
1527371702,0,0
1527375902,0,0
1527377401,0,0
1527378902,0,0
1527381602,0,0
1527382802,0,0
1527384002,0,0
1527385801,0,0
1527387001,0,0
1527388201,0,0
1527390002,0,0
1527391202,0,0
1527393001,0,0
1527394202,0,0
1527396302,0,0
1527397202,0,0
1527399302,0,0
1527552001,0,1
1527575401,1,1
1527579001,1,0
1527912602,0,0
1527914702,0,0
1527916801,0,0
1527918902,0,0
1527923402,0,0
1527925202,0,0
1527926102,0,0
1527927602,0,0
1527928801,0,0
1527929701,0,0
1527931201,0,0
1527933602,0,0
1527934501,0,0
1527935701,0,0
1527936901,0,0
1527939301,0,0
1527940501,0,0
1527941701,0,0
1527943802,0,0
1527945002,0,0
1527946202,0,0
1527947102,0,0
1527948302,0,0
1527949201,0,0
1527950401,0,0
1527951601,0,0
1527952802,0,0
1527953701,0,0
1527955202,0,0
1527956701,0,0
1527957902,0,0
1527958802,0,0
1527960302,0,0
1527961502,0,0
1527962701,0,0
1527963902,0,0
1527965101,0,0
1527966302,0,0
1527967502,0,0
1527968702,0,0
1527969902,0,0
1527970802,0,0
1527972002,0,0
1527972902,0,0
1527973802,0,0
1527975001,0,0
1527976202,0,0
1527977402,0,0
1527978902,0,0
1527980102,0,0
1527981301,0,0
1527982201,1,1
1527983401,0,0
1527984601,0,0
1527987002,1,0
1527988202,0,0
1527989402,0,0
1527990602,0,0
1527991502,0,0
1527993002,0,0
1527993902,0,0
1527995101,0,0
1527996302,0,0
1527997502,0,0
1527998701,0,0
1527999901,0,0
1528001402,0,0
1528002602,0,0
1528004102,0,0
1528307702,0,0
1528309502,0,0
1528313101,0,0
1528318502,0,0
1528322401,0,0
1528324802,0,0
1528329602,0,0
1528333202,0,0
1529461502,1,1
1529937902,1,1
1530230401,0,1
1530576002,0,1
1530690601,1,1
1530776101,0,1
1530932701,1,1
1531016102,1,1
1531020001,1,1
1531369202,1,1
1531372802,1,1
1531513501,1,1
1531517102,1,1
1533673502,0,1
1533673802,1,0
1534151102,0,0
1534445102,1,1
1534446002,1,1
1535084702,0,1
1535085901,1,0
1535106602,0,1
1535107502,1,0
1535149502,0,1
1535151602,1,0
1535214602,0,1
1535215202,1,0
1535266802,0,1
1535268302,1,0
1535286602,0,1
1535287501,1,0
1535293501,0,1
1535295001,1,0
1535308201,0,1
1535309102,1,0
1535409001,0,1
1535409301,1,0
1535525102,0,1
1535526002,1,0
1535553901,0,1
1535554501,1,0
1535568302,0,1
1535569201,1,0
1535597102,0,1
1535597702,1,0
1535627402,1,1
1535669102,0,1
1535669702,1,0
1535770801,0,1
1535771101,1,0
1535778002,0,1
1535778302,1,0
1535821502,0,1
1535822101,1,0
1535919302,0,1
1535920201,1,0
1536050702,0,1
1536051602,1,0
1536186602,1,1
1536189002,1,1
1536760502,1,0
1536880201,0,1
1536881401,1,0
1537003802,1,1
1537004702,1,1
1537332302,1,1
1537333201,1,0
1537594201,1,1
1537595102,1,1
1537774502,0,1
1537774802,1,0
1537778702,0,1
1537947602,1,0
1537947902,0,1
1537948501,1,0
1537951802,0,1
1537952102,1,0
1538049602,1,1
1538051701,1,1
1538144702,1,1
1538206802,1,1
1538208002,1,0
1538646302,1,1
1538647502,1,1
1538771402,1,1
1538772001,1,0
1539041102,1,1
1539352202,0,1
1539352501,1,0
1539388801,0,1
1539588601,1,1
1539589501,1,1
1539604802,1,1
1539938401,1,1
1539939602,1,0
1539993602,0,1
1540180201,1,1
1540180502,1,1
1540492201,1,1
1540620302,1,1
1540621202,1,0
1540858501,0,1
1540933801,1,1
1541376301,0,1
1542091502,1,1
1542092402,1,0
1542357602,1,1
1542358802,1,0
1542585602,0,1
1542873902,1,1
1542874202,1,0
1543277101,0,1
1544173502,0,1
1544173802,1,0
1544403302,1,1
1544403902,1,0
1544745602,0,1
1545004801,0,1
1545160201,0,1
1545160802,1,0
1545253202,1,1
1545253801,1,0
1545288002,1,1
1545288902,1,0
1545362101,1,1
1545362701,1,0
1545412802,0,1
1545413102,1,0
1545523202,0,1
1545984001,0,1
1545984302,1,0
1547078402,0,1
1547856002,0,1
1547942402,0,1
1548029102,0,1
1548062701,1,1
1548063602,1,0
1548297002,1,1
1548297602,1,0
1549003202,1,1
1549004101,1,0
1549044902,0,1
1549045502,1,0
1549184702,0,1
1549185002,1,0
1550280301,1,1
1550281201,1,0
1550707502,0,1
1550862001,0,1
1550862301,1,0
1550966402,0,1
1551206402,1,1
1551207301,1,1
1551227402,1,1
1551228302,1,1
1551230701,1,1
1551231602,1,1
1551265802,1,1
1551266701,1,0
1551273002,1,1
1551273901,1,0
1551302702,1,1
1551303902,1,0
1551329102,1,1
1551330002,1,0
1551338702,1,1
1551339602,1,1
1551342601,1,1
1551343502,1,0
1551366002,1,1
1551366601,1,0
1551446702,1,1
1551447602,1,1
1551454202,1,1
1551454801,1,1
1551487502,1,1
1551488101,1,0
1551492001,1,1
1551492601,1,0
1551525001,1,1
1551526201,1,1
1551573001,1,1
1551573902,1,0
1551606602,0,1
1551606902,1,0
1551646802,1,1
1551647701,1,1
1551657602,0,1
1551683102,1,1
1551684302,1,0
1551716701,1,1
1551717902,1,0
1551810301,0,1
1551811502,1,0
1551822002,1,1
1551823502,1,1
1551920102,1,1
1551920701,1,0
1551925502,1,1
1551926402,1,1
1552004702,1,1
1552006201,1,1
1552042502,1,1
1552043402,1,0
1552138801,1,1
1552139701,1,0
1552175702,1,1
1552176902,1,0
1552190101,1,1
1552191002,1,0
1552193702,1,1
1552194602,1,0
1552300801,1,1
1552301701,1,1
1552325102,1,1
1552326002,1,1
1552329301,1,1
1552329602,1,0
1552345201,1,1
1552345502,1,0
1552374002,1,1
1552374601,1,0
1552422601,1,1
1552423201,1,0
1552519502,0,1
1552520702,1,0
1552555502,1,1
1552556401,1,1
1552752002,1,1
1552752602,1,1
1552837502,1,1
1552838701,1,1
1552947902,1,1
1552948802,1,0
1552953602,0,1
1553029501,1,0
1553088302,1,1
1553089501,1,1
1553095501,1,1
1553096702,1,1
1553132402,1,1
1553133302,1,1
1553249701,1,1
1553250602,1,0
1553300101,1,1
1553300702,1,0
1553374202,0,1
1553375102,1,0
1553403302,1,1
1553404202,1,0
1553432101,1,1
1553433302,1,1
1553435701,1,1
1553436302,1,1
1553495402,0,1
1553496601,1,0
1553546702,1,1
1553547602,1,1
1553637002,1,1
1553637602,1,1
1553646302,0,1
1553647202,1,0
1553653202,0,1
1553653502,1,0
1553659202,1,1
1553660102,1,0
1553681102,1,1
1553682302,1,1
1553748302,1,1
1553748902,1,0
1553793301,0,1
1553793602,1,0
1553833501,0,1
1553834402,1,0
1553853001,1,1
1553853302,1,1
1553874002,1,1
1553874602,0,1
1553875202,1,0
1553883002,1,1
1553904002,0,3
1553991002,0,3
1554029102,1,1
1554030302,1,1
1554056701,1,1
1554057902,1,0
1554155101,1,1
1554155702,1,1
1554163502,0,2
1554171902,1,1
1554172801,1,1
1554179102,1,1
1554180001,1,0
1554249902,0,1
1554256502,1,1
1554257402,1,1
1554306002,1,1
1554307202,1,0
1554336002,0,2
1554375902,1,1
1554377401,1,1
1554419402,1,1
1554422401,1,1
1554423301,1,0
1554450002,1,1
1554451202,1,0
1554476701,0,1
1554477302,1,0
1554479701,0,1
1554480902,1,0
1554499502,1,1
1554500702,1,1
1554509102,1,1
1554510901,1,1
1554536402,1,1
1554537301,1,1
1554549902,1,1
1554551102,1,1
1554553502,1,1
1554554702,1,1
1554566102,0,1
1554567002,1,0
1554569102,1,1
1554569701,1,0
1554595502,0,1
1554642002,1,1
1554642602,1,1
1554645302,1,1
1554645902,1,0
1554681602,0,1
1554768002,0,2
1554792002,1,1
1554793202,1,1
1554794102,1,1
1554854401,0,2
1554882002,1,1
1554883501,1,1
1554940802,0,2
1554951002,1,1
1554951602,1,1
1555027201,0,2
1555028702,1,1
1555029901,1,1
1555059602,1,1
1555060202,1,1
1555088101,0,1
1555088402,1,0
1555097102,1,1
1555098302,1,1
1555129502,1,1
1555130401,1,1
1555148402,1,1
1555149301,1,1
1555227601,0,1
1555228502,1,0
1555293302,1,1
1555294502,1,1
1555299602,1,1
1555300502,1,0
1555417501,0,1
1555418701,1,0
1555424702,1,1
1555425901,1,1
1555545902,0,1
1555612802,1,1
1555614302,1,0
1555632002,0,1
1555676701,1,1
1555677901,1,1
1555692002,0,1
1555692302,1,0
1555692602,0,1
1555693202,1,0
1555693501,0,1
1555694402,1,0
1555695602,0,1
1555695902,1,0
1555696201,0,1
1555696802,1,0
1555742701,1,1
1555743602,1,1
1555749901,1,1
1555750801,1,1
1555890901,1,1
1555891202,0,1
1555891502,1,1
1555977602,0,1
1556064002,0,1
1556081402,0,1
1556082001,1,0
1556174402,0,1
1556175902,1,0
1556202601,1,1
1556203502,1,0
1556323201,0,1
